faas-netes - Community Edition (CE)
Warning: Commercial use limited to 60 days.
Learn more: https://github.com/openfaas/faas/blob/master/EULA.md

Version: dev Commit: 
W0531 05:37:57.030052       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2025/05/31 05:37:57 HTTP Read Timeout: 1m5s
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001882 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002233 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003093 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001543 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001416 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001709 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001978 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002815 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002774 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.004270 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.004304 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.004796 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003911 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001510 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001557 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001979 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002053 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003279 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002823 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003386 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001633 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001943 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001698 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002187 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002414 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002331 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.012968 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003094 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002770 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001547 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001662 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002185 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001519 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001583 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001539 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003300 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.012108 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003264 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003501 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002394 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002668 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002880 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.001821 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002451 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.002842 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003261 seconds
2025/05/31 05:40:26 nodeinfo.openfaas-fn took 0.003325 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002797 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002693 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003101 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003294 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001688 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002063 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002084 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003156 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003373 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003727 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003165 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001808 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002407 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002699 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001840 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002022 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005362 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001805 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001568 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001646 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003534 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002983 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003353 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002685 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001779 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001914 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002048 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001583 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002094 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.012370 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005121 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005487 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005302 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005426 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005244 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.005908 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.004212 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003551 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003125 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003407 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002955 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002064 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002353 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002755 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003078 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002123 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001474 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001872 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002250 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001651 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002698 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002152 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003702 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003527 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003849 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001501 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001419 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001437 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001761 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.004262 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002877 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003214 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003811 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.004173 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002005 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001744 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001383 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001995 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002418 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002336 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002733 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003138 seconds
